,Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
437,The Kill Room,29 Sep 2023,R,1h 38min,"Comedy, Thriller",English,1 win,N/A,5.5,"7,425","$139,358"
438,Silent Night,01 Dec 2023,R,1h 44min,"Action, Thriller",English,3 nominations,N/A,5.3,"22,814","$8,012,103"
439,You Hurt My Feelings,26 Jan 2024,R,1h 33min,"Comedy, Drama",English,1 win & 6 nominations,82,6.6,"13,908","$4,830,788"
440,Ant-Man and the Wasp: Quantumania,17 Feb 2023,PG-13,2h 5min,"Action, Adventure, Comedy",English,13 nominations,48,6.0,"239,427","$214,504,909"
441,Perfect Addiction,14 Apr 2023,R,1h 37min,"Action, Drama, Romance",English,N/A,N/A,5.5,"3,853",N/A
442,Scream VI,10 Mar 2023,R,2h 2min,"Horror, Mystery, Thriller",English,4 wins & 26 nominations,61,6.5,"127,447","$108,161,389"
443,Outlaw Johnny Black,15 Sep 2023,PG-13,2h 17min,"Action, Comedy, Western",English,N/A,N/A,5.5,"1,467","$319,848"
444,Virupaksha,21 Apr 2023,PG-13,2h 26min,"Action, Horror, Mystery",Telugu,9 nominations,N/A,7.2,"6,471",N/A
445,Bringing Back Christmas,17 Nov 2023,PG,1h 29min,Family,English,19 wins & 5 nominations,N/A,N/A,38,N/A
446,Haunted Mansion,28 Jul 2023,PG-13,2h 3min,"Comedy, Drama, Family","English, French, Spanish",7 nominations,N/A,6.0,"45,712","$67,653,287"
447,Maggie Moore(s),15 Jun 2023,R,1h 39min,"Comedy, Crime, Mystery",English,N/A,44,6.2,"8,344",N/A
448,Order to Kill,14 Apr 2023,R,1h 31min,"Crime, Drama, Thriller",English,N/A,N/A,N/A,N/A,N/A
449,The Little Mermaid,26 May 2023,PG,2h 15min,"Adventure, Family, Fantasy",English,2 wins & 30 nominations,59,7.2,"161,012","$298,172,056"
450,Christy,17 Feb 2023,G,2h 20min,"Comedy, Drama, Romance",Malayalam,N/A,N/A,4.8,"2,460",N/A
451,Sound of Freedom,04 Jul 2023,PG-13,2h 11min,"Biography, Crime, Drama","English, Spanish",2 wins & 4 nominations,43,7.6,"124,022","$184,178,046"
452,Ruby Gillman: Teenage Kraken,30 Jun 2023,PG,1h 31min,"Animation, Action, Comedy",English,1 win & 3 nominations,50,5.7,"11,870","$15,753,600"
453,Mission: Impossible - Dead Reckoning Part One,12 Jul 2023,PG-13,2h 44min,"Action, Adventure, Thriller","English, French, Italian, Russian",Nominated for 2 Oscars. 18 wins & 67 nominations total,81,7.7,"266,073","$172,135,383"
454,Flakka Zombie Drug,15 Oct 2023,PG-13,1h 26min,"Horror, Mystery, Sci-Fi",English,N/A,N/A,2.5,60,N/A
455,UFO Endgame to Disclosure,03 Mar 2023,PG,1h 54min,Documentary,English,N/A,N/A,N/A,N/A,N/A
456,Her: Chapter 1,21 Jul 2023,R,1h 12min,"Crime, Drama, Thriller",Telugu,N/A,N/A,6.2,"3,469",N/A
457,In Love and Deep Water,16 Nov 2023,PG-13,2h 7min,"Comedy, Mystery, Romance",Japanese,1 nomination,N/A,5.2,863,N/A
458,The Dancing Detective: A Deadly Tango,02 Jun 2023,PG,1h 24min,"Crime, Drama","English, Italian",1 nomination,N/A,6.5,906,N/A
459,Royalteen: Princess Margrethe,11 May 2023,R,1h 38min,"Drama, Romance",Norwegian,N/A,N/A,4.7,911,N/A
460,You Are So Not Invited to My Bat Mitzvah,25 Aug 2023,PG-13,1h 43min,Comedy,"English, Hebrew",2 wins & 2 nominations,N/A,6.0,"25,052",N/A
461,Under the Christmas Sky,22 Oct 2023,G,1h 24min,"Comedy, Drama, Romance",English,N/A,N/A,5.8,761,N/A
462,Luckless in Love,21 Jan 2023,G,1h 30min,"Comedy, Romance",English,N/A,N/A,5.9,455,N/A
463,A Little Prayer,24 Jan 2023,R,1h 31min,Drama,English,N/A,82,7.1,150,N/A
464,Meet Me Where I Am,02 Jul 2023,PG-13,1h 26min,Documentary,English,N/A,N/A,N/A,N/A,N/A
465,Because of Mika,08 Mar 2024,PG-13,1h 35min,Comedy,N/A,5 wins,N/A,N/A,N/A,N/A
466,Big Mäck - Gangster und Gold,30 Mar 2023,R,1h 30min,Documentary,German,N/A,N/A,6.1,508,N/A
467,Titanic: 25 Years Later with James Cameron,05 Feb 2023,PG,44min,Documentary,English,N/A,N/A,6.5,250,N/A
468,Mike Vecchione: The Attractives,24 Mar 2023,PG-13,54min,Comedy,English,N/A,N/A,7.5,48,N/A
469,Americana,17 Mar 2023,R,1h 40min,"Action, Comedy, Crime",English,N/A,85,6.5,155,N/A
470,Kida - von Beirut nach Berlin,10 May 2023,G,2h 2min,Documentary,German,N/A,N/A,N/A,N/A,N/A
471,Poison,30 Sep 2023,PG,17min,"Short, Comedy, Drama",English,1 nomination,N/A,6.8,"23,234",N/A
472,Black Daruma,30 Sep 2023,NC-17,1h 15min,Horror,English,N/A,N/A,5.8,56,N/A
473,God's Country Song,16 Jun 2023,PG,1h 44min,Drama,English,N/A,N/A,5.9,214,N/A
474,Real Love,10 Jun 2023,PG-13,1h 28min,"Drama, Romance",English,1 nomination,N/A,7.3,536,N/A
475,Passionate Betrayals,25 Jun 2023,R,1h 29min,Drama,English,N/A,N/A,N/A,6,N/A
476,A Vampire in the Family,24 Dec 2023,R,1h 30min,"Comedy, Fantasy",Portuguese,N/A,N/A,4.7,"1,327",N/A
477,Common Ground,08 Jun 2023,PG,1h 41min,Documentary,English,2 wins,N/A,8.7,54,"$255,671"
478,If I Can't Have You,13 Apr 2023,PG-13,1h 28min,Mystery,English,N/A,N/A,4.3,152,N/A
479,Wingwomen,01 Nov 2023,R,1h 54min,"Action, Comedy, Crime",French,N/A,N/A,5.7,"7,003",N/A
480,12 Games of Christmas,17 Dec 2023,G,1h 24min,"Adventure, Comedy, Romance",English,3 wins,N/A,4.8,167,N/A
481,Sometimes Yesterday,23 May 2023,PG-13,1h 29min,Drama,English,6 wins,N/A,N/A,19,N/A
482,Oh Belinda,07 Apr 2023,R,1h 37min,"Comedy, Drama",Turkish,1 nomination,N/A,5.3,"3,403",N/A
483,El Conde,15 Sep 2023,R,1h 52min,"Comedy, Fantasy, History","Spanish, English, French",Nominated for 1 Oscar. 5 wins & 12 nominations total,N/A,6.4,"14,428",N/A
484,Spring Breakthrough,30 Apr 2023,PG,1h 24min,"Drama, Family, Romance",English,N/A,N/A,5.7,318,N/A
485,Destination NBA: A G League Odyssey,08 Aug 2023,R,1h 59min,Documentary,English,N/A,N/A,N/A,231,N/A
486,Last Resort,06 Jan 2023,R,1h 48min,Action,English,N/A,N/A,4.7,180,N/A
487,Street Connected,03 Apr 2023,R,51min,Action,English,N/A,N/A,N/A,N/A,N/A
488,Dora: Say Hola to Adventure!,11 Nov 2023,G,45min,Animation,English,N/A,N/A,N/A,10,N/A
489,Child Machine,12 May 2023,PG-13,1h 36min,Sci-Fi,English,3 wins & 1 nomination,N/A,4.8,142,N/A
490,Love in Glacier National: A National Park Romance,28 Jan 2023,G,1h 24min,"Comedy, Romance",English,2 nominations,N/A,6.1,905,N/A
491,The Oscars,12 Mar 2023,G,4h 40min,"Documentary, Comedy, Music","English, American Sign , Telugu",Nominated for 4 Primetime Emmys. 2 wins & 10 nominations total,N/A,6.5,"1,014",N/A
492,Charles: In His Own Words,28 Apr 2023,PG,45min,Documentary,English,N/A,N/A,5.6,60,N/A
493,Hurricane Season,01 Nov 2023,R,1h 39min,"Drama, Thriller",Spanish,4 wins & 9 nominations,N/A,5.9,853,N/A
494,Ghosts of the Void,07 Nov 2023,R,1h 31min,"Drama, Horror, Thriller",English,8 wins & 4 nominations,N/A,5.3,97,N/A
495,The Legend & Butterfly,27 Jan 2023,R,2h 48min,"Drama, History, Romance",Japanese,2 nominations,N/A,6.5,652,N/A
496,Peter & the Wolf,19 Oct 2023,PG,33min,"Animation, Short, Adventure",English,N/A,N/A,6.7,402,N/A
497,Carol Burnett: A Celebration,22 Apr 2023,PG,1h 37min,Documentary,N/A,N/A,N/A,6.3,9,N/A
498,Celebrating Carol: The Gift of Laughter,26 Apr 2023,PG,44min,"Documentary, Comedy, Music",English,N/A,N/A,N/A,11,N/A
499,The Happiest Man in the World,30 Mar 2023,PG-13,1h 35min,Drama,Bosnian,8 wins & 11 nominations,N/A,N/A,552,N/A
500,A Nashville Legacy,26 Feb 2023,G,1h 24min,"Comedy, Drama, Romance",English,N/A,N/A,6.4,315,N/A
501,Veeran,02 Jun 2023,G,2h 30min,"Action, Drama, Fantasy",Tamil,N/A,N/A,6.0,"1,276",N/A
502,Role Play,12 Jan 2024,R,1h 41min,"Action, Comedy, Romance",English,N/A,N/A,5.5,"17,762",N/A
503,Unknown: Cosmic Time Machine,24 Jul 2023,G,1h 4min,Documentary,English,N/A,N/A,7.2,"2,854",N/A
504,Finding Home: Journey to MLB,05 Aug 2023,PG,1h 0min,Documentary,English,N/A,N/A,N/A,N/A,N/A
505,Diana: A Different Kind of Royal,2023,PG,40min,Documentary,English,N/A,N/A,N/A,N/A,N/A
506,Love in the Maldives,01 Apr 2023,G,1h 24min,Romance,English,N/A,N/A,6.1,949,N/A
507,Touch the Water,03 Nov 2023,PG,1h 31min,Drama,English,1 win,N/A,8.2,18,N/A
508,Victim/Suspect,23 May 2023,R,1h 30min,"Documentary, Crime",English,1 win & 5 nominations,67,6.9,"2,287",N/A
509,The Taliban's New Friend,02 Feb 2023,PG-13,46min,Documentary,English,N/A,N/A,N/A,N/A,N/A
510,1000% Me: Growing Up Mixed,02 May 2023,G,59min,Documentary,English,1 win,N/A,7.2,191,N/A
511,La Soga 3: Vengeance,12 Dec 2023,R,1h 21min,"Action, Crime, Drama",Spanish,N/A,N/A,8.0,58,N/A
512,Higuita: The Way of the Scorpion,02 Nov 2023,R,1h 40min,"Documentary, Sport",Spanish,1 win,N/A,6.7,708,N/A
513,Never Been Chris'd,04 Nov 2023,G,1h 24min,"Comedy, Romance",English,1 nomination,N/A,5.5,"1,047",N/A
514,Maximum Truth,23 Jun 2023,R,1h 31min,Comedy,English,N/A,N/A,4.6,478,N/A
515,The Cost,26 Nov 2022,R,1h 48min,"Drama, Thriller",English,5 wins & 5 nominations,N/A,6.2,518,N/A
516,The Mission,08 Dec 2023,PG-13,1h 43min,Documentary,English,11 nominations,N/A,6.4,"1,075","$58,377"
517,Occupied City,30 Nov 2023,PG-13,4h 26min,"Documentary, History, War",English,3 wins & 5 nominations,74,6.6,622,N/A
518,Sly,03 Nov 2023,R,1h 37min,"Documentary, Biography",English,2 nominations,N/A,7.0,"11,780",N/A
519,The Last Rider,01 Mar 2022,PG-13,1h 37min,"Documentary, Biography, History","French, English, Spanish",N/A,68,7.5,359,"$147,979"
520,What's My Name Again?,18 Jul 2023,R,1h 53min,"Comedy, Drama",N/A,3 wins & 11 nominations,N/A,8.4,37,N/A
521,Lavell Crawford: THEE Lavell Crawford,24 Feb 2023,R,1h 28min,Comedy,English,N/A,N/A,N/A,69,N/A
522,The Seven Deadly Sins: Grudge of Edinburgh Part 2,08 Aug 2023,PG-13,55min,"Animation, Action, Adventure",Japanese,N/A,N/A,6.2,541,N/A
523,Bottoms,14 Feb 2024,R,1h 31min,Comedy,English,5 wins & 24 nominations,79,6.7,"48,621","$12,036,071"
524,A Royal Christmas Holiday,23 Dec 2023,G,1h 24min,Romance,English,N/A,N/A,6.0,350,N/A
525,Destined 2: Christmas Once More,14 Oct 2023,G,1h 25min,Family,English,N/A,N/A,6.8,358,N/A
526,Aaron Carter: The Little Prince of Pop,01 May 2023,PG-13,57min,Documentary,English,N/A,N/A,6.5,279,N/A
527,Last Call for Istanbul,24 Nov 2023,R,1h 31min,"Drama, Romance",Turkish,1 win,N/A,5.3,"9,358",N/A
528,My Norwegian Holiday,01 Dec 2023,G,1h 24min,"Comedy, Drama, Romance","English, Norwegian",N/A,N/A,6.6,"2,321",N/A
529,Bird Box: Barcelona,14 Jul 2023,R,1h 52min,"Horror, Mystery, Sci-Fi","Spanish, English, German",2 nominations,47,5.3,"25,664",N/A
530,The Cello,14 Sep 2023,R,2h 0min,"Horror, Mystery, Thriller","Arabic, English",N/A,N/A,4.1,"2,583",N/A
531,ASCHE,21 Dec 2023,PG,1h 45min,Thriller,German,N/A,N/A,N/A,8,N/A
532,Carl's Date,21 Jun 2023,G,9min,"Animation, Short, Comedy",English,N/A,N/A,6.4,"3,486",N/A
533,Christmas at the Amish Bakery,10 Dec 2023,G,1h 25min,Romance,English,N/A,N/A,6.3,198,N/A
534,Through My Window: Across the Sea,23 Jun 2023,R,1h 50min,"Comedy, Drama, Romance",Spanish,N/A,N/A,5.1,"6,957",N/A
535,The Other Zoey,10 Nov 2023,PG-13,1h 31min,"Comedy, Drama, Romance",English,N/A,N/A,5.9,"10,991","$168,099"
536,Dope Boy Magic,01 Jun 2023,PG-13,1h 40min,Drama,N/A,N/A,N/A,N/A,N/A,N/A
537,Guardians of Time,16 Mar 2023,PG,1h 39min,"Action, Adventure",English,1 win & 2 nominations,N/A,3.6,"1,163",N/A
538,American Fiction,22 Dec 2023,R,1h 57min,"Comedy, Drama",English,Won 1 Oscar. 63 wins & 166 nominations total,N/A,7.5,"99,285","$21,098,470"
539,The Burial,13 Oct 2023,R,2h 6min,Drama,English,2 wins & 4 nominations,N/A,7.1,"37,620",N/A
540,Hungry Ghost Diner,10 Aug 2023,PG,1h 56min,"Comedy, Drama, Fantasy","Mandarin, Cantonese, Hakka, Malay",3 wins & 2 nominations,N/A,6.3,89,N/A
541,Our Body,04 Oct 2023,G,2h 49min,Documentary,"French, English, Spanish",3 wins & 12 nominations,N/A,7.8,313,N/A
542,Flamin' Hot,09 Jun 2023,PG-13,1h 39min,"Biography, Drama, History","English, Spanish",Nominated for 1 Oscar. 7 wins & 8 nominations total,58,6.7,"18,101",N/A
543,Copenhagen Cowboy: Nightcall with Nicolas Winding Refn,31 Jan 2023,R,27min,"Documentary, Short","English, Danish",N/A,N/A,N/A,121,N/A
544,Making La Grande Boucherie,2023,PG,1h 13min,Documentary,"English, French",N/A,N/A,N/A,N/A,N/A
545,Apple Music Live: Dominic Fike,11 Mar 2023,PG-13,1h 7min,Music,English,N/A,N/A,N/A,N/A,N/A
546,Daughters of the Sun,30 Mar 2023,PG-13,1h 14min,Documentary,English,1 nomination,N/A,N/A,24,N/A
547,Snag,28 Apr 2023,R,1h 28min,"Action, Mystery, Thriller",English,N/A,N/A,4.1,541,N/A
548,Leo Reich: Literally Who Cares?!,16 Dec 2023,R,1h 5min,Comedy,English,N/A,N/A,6.0,267,N/A
549,Maybe Baby,16 Mar 2023,R,1h 44min,Comedy,Danish,N/A,N/A,N/A,815,N/A
550,Good Chemistry: The Story of Elemental,13 Sep 2023,G,41min,"Documentary, Short, Family",English,N/A,N/A,N/A,225,N/A
551,Fool's Paradise,12 May 2023,R,1h 39min,Comedy,English,N/A,27,4.7,"6,627","$855,173"
552,Finestkind,15 Dec 2023,R,2h 6min,"Crime, Drama, Thriller",English,2 nominations,N/A,6.1,"9,617",N/A
553,What Rhymes with Reason,10 Oct 2023,PG-13,1h 43min,Drama,English,22 wins & 2 nominations,N/A,5.6,763,N/A
554,Runaways,2023,PG-13,59min,Documentary,Russian,N/A,N/A,N/A,N/A,N/A
555,Sweeter Than Chocolate,04 Feb 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,6.7,"1,153",N/A
556,Sealed with a List,16 Dec 2023,G,1h 24min,Romance,English,1 win & 6 nominations,N/A,7.0,"1,012",N/A
557,Romance at the Vineyard,22 Aug 2023,G,1h 30min,Romance,English,N/A,N/A,N/A,290,N/A
558,Nine Divine,05 Dec 2023,PG,1h 35min,"Adventure, Drama, Fantasy",English,N/A,N/A,N/A,N/A,N/A
559,Memory,05 Jan 2024,R,1h 44min,Drama,English,2 wins & 5 nominations,N/A,6.7,"7,119","$381,052"
560,Live Survival,13 Jan 2023,R,1h 32min,Horror,English,N/A,N/A,2.9,44,N/A
561,Holiday in the Vineyards,13 Dec 2023,PG,1h 47min,Romance,English,N/A,N/A,6.2,"2,292",N/A
562,A Family Sentenced,12 Jan 2023,PG-13,1h 12min,Documentary,Persian,N/A,N/A,N/A,19,N/A
563,The Peasants,13 Oct 2023,R,1h 55min,"Animation, Drama, History","Polish, Latin",10 wins & 19 nominations,N/A,7.6,"6,678","$155,188"
564,It Only Takes a Night,18 Aug 2023,PG,1h 34min,"Comedy, Romance",English,1 nomination,N/A,5.3,578,N/A
565,Epic Tails,25 Jan 2023,PG,1h 36min,"Animation, Adventure, Comedy","French, Spanish, Italian",1 win & 1 nomination,N/A,5.8,924,"$355,088"
566,Making of Chicken Run: Dawn of the Nugget,15 Dec 2023,G,20min,"Documentary, Short",English,N/A,N/A,N/A,99,N/A
567,Freud's Last Session,14 Jun 2024,PG-13,1h 49min,Drama,English,1 nomination,N/A,6.1,"4,740","$906,283"
568,Swathi Mutthina Male Haniye,24 Nov 2023,G,1h 41min,"Drama, Romance",Kannada,1 win & 2 nominations,N/A,7.4,500,N/A
569,My Big Fat Greek Wedding 3,08 Sep 2023,PG-13,1h 32min,"Comedy, Drama, Romance","English, Greek",1 win & 2 nominations,N/A,5.2,"10,783","$28,496,030"
570,Jason Isbell: Running with Our Eyes Closed,08 Apr 2023,R,1h 38min,Documentary,English,N/A,N/A,8.1,337,N/A
571,Coup de Chance,05 Apr 2024,PG-13,1h 36min,"Comedy, Crime, Drama",French,N/A,N/A,6.4,"8,274",N/A
572,The Old Way,13 Jan 2023,R,1h 35min,"Action, Drama, Western",English,1 win,43,5.5,"9,419",N/A
573,What's Love Got to Do with It?,05 May 2023,PG-13,1h 48min,"Comedy, Drama, Romance","English, Urdu, Arabic",N/A,59,6.3,"10,660",N/A
574,The Last Rifleman,05 Nov 2023,PG-13,1h 40min,Drama,English,2 nominations,N/A,6.5,"2,052",N/A
575,Boudica: Queen of War,27 Oct 2023,R,1h 41min,"Action, Drama, History",English,N/A,N/A,4.2,"3,148",N/A
576,Anatomy of a Fall,22 Mar 2024,R,2h 31min,"Crime, Drama, Thriller","French, English",Won 1 Oscar. 114 wins & 178 nominations total,89,7.7,"153,155","$5,076,369"
577,Sparkle: A Unicorn Tale,25 Jul 2023,PG,1h 24min,"Adventure, Family, Fantasy",English,N/A,N/A,5.6,92,N/A
578,Marlowe,15 Feb 2023,R,1h 49min,"Crime, Mystery, Thriller",English,2 nominations,41,5.4,"12,839","$4,350,243"
579,Kokomo City,28 Jul 2023,R,1h 13min,Documentary,English,19 wins & 28 nominations,78,7.1,"1,285","$77,278"
580,One Day as a Lion,07 Apr 2023,R,1h 27min,"Action, Comedy, Thriller",English,N/A,N/A,5.2,"2,088","$42,338"
581,Joy Ride,07 Jul 2023,R,1h 22min,Comedy,English,2 wins & 17 nominations,75,6.4,"25,573","$12,897,789"
582,Babylon 5: The Road Home,22 Jul 2023,PG-13,1h 20min,"Animation, Sci-Fi",English,N/A,N/A,6.9,855,N/A
583,Freelance,27 Oct 2023,R,1h 48min,"Action, Comedy","English, Spanish, French",N/A,N/A,5.5,"22,733","$5,314,136"
584,Dicks: The Musical,20 Oct 2023,R,1h 26min,"Comedy, Musical",English,1 win & 5 nominations,N/A,5.4,"3,507","$1,453,012"
585,How the Gringo Stole Christmas,01 Dec 2023,PG-13,1h 21min,Comedy,English,N/A,N/A,3.3,667,N/A
586,The Persian Version,05 Dec 2023,R,1h 48min,"Comedy, Drama, Romance","English, Persian",4 wins & 5 nominations,66,6.2,"3,983","$559,820"
587,¿Quieres ser mi... hijo?,21 Sep 2023,PG-13,1h 40min,Comedy,Spanish,N/A,N/A,N/A,223,N/A
588,The Hill,25 Aug 2023,PG,2h 1min,"Biography, Drama, Sport",English,1 win,N/A,6.7,"7,024","$7,665,865"
589,Dream Scenario,22 Nov 2023,R,1h 42min,"Comedy, Drama, Fantasy","English, French",2 wins & 17 nominations,N/A,6.9,"75,482","$5,742,193"
590,The Machine,26 May 2023,R,1h 52min,"Action, Comedy",English,N/A,37,5.7,"16,180","$10,458,331"
591,Knock at the Cabin,03 Feb 2023,R,1h 40min,"Horror, Mystery, Thriller",English,12 nominations,63,6.1,"125,668","$35,397,980"
592,Saw X,29 Sep 2023,R,1h 58min,"Horror, Mystery, Thriller","English, Spanish",15 nominations,N/A,6.6,"84,301","$53,607,898"
593,Downtown Owl,23 Apr 2024,R,1h 28min,Drama,English,N/A,N/A,4.8,"1,877",N/A
594,River Wild,01 Aug 2023,PG-13,1h 31min,"Action, Adventure, Thriller",English,1 nomination,N/A,5.4,"5,705",N/A
