Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
Baghead,05 Apr 2024,PG-13,1h 35min,Horror,English,1 nomination,N/A,5.4,"11,899",N/A
Magic Mike's Last Dance,10 Feb 2023,R,1h 52min,"Comedy, Drama",English,4 nominations,52,5.2,"17,831","$26,005,156"
Marguerite's Theorem,01 Nov 2023,PG,1h 53min,"Comedy, Drama, Mystery","French, English",4 wins & 1 nomination,N/A,6.8,"1,649",N/A
There's Something in the Barn,10 Nov 2023,R,1h 40min,"Comedy, Fantasy, Horror","English, Norwegian",2 nominations,N/A,5.5,"4,882",N/A
The Super Mario Bros. Movie,05 Apr 2023,PG,1h 32min,"Animation, Adventure, Comedy",English,2 wins & 48 nominations,46,7.0,"251,438","$574,934,330"
Sakra,19 Jan 2023,R,2h 10min,"Action, Adventure","Mandarin, Cantonese",2 wins & 1 nomination,N/A,5.7,"2,281",N/A
The Deepest Breath,19 Jul 2023,PG,1h 48min,"Documentary, Adventure, Sport","English, Italian",7 wins & 15 nominations,70,7.7,"15,523",N/A
Past Lives,23 Jun 2023,PG-13,1h 46min,"Drama, Romance","Korean, English, Mandarin, French",Nominated for 2 Oscars. 80 wins & 227 nominations total,94,7.8,"135,047","$11,185,625"
Supercell,17 Mar 2023,PG-13,1h 40min,"Action, Adventure, Drama",English,3 wins & 1 nomination,N/A,4.4,"3,383",N/A
The Lesson,22 Sep 2023,R,1h 43min,Thriller,English,3 nominations,64,6.1,"2,987","$310,746"
Little Dixie,03 Feb 2023,R,1h 45min,"Action, Crime, Thriller","English, Spanish",N/A,N/A,4.9,"1,776",N/A
Killers of the Flower Moon,20 Oct 2023,R,3h 26min,"Crime, Drama, History","English, Osage, Latin, French",Nominated for 10 Oscars. 128 wins & 418 nominations total,89,7.6,"262,628","$68,026,901"
Pain Hustlers,27 Oct 2023,R,2h 2min,"Crime, Drama",English,2 nominations,N/A,6.6,"49,114",N/A
Migration,22 Dec 2023,PG,1h 32min,"Animation, Adventure, Comedy",English,1 win & 7 nominations,N/A,6.6,"36,140","$127,306,285"
Manodrome,17 Nov 2023,R,1h 35min,"Drama, Thriller",English,4 nominations,53,4.7,"3,114",N/A
A Christmas Blessing,01 Nov 2023,G,1h 24min,Family,English,N/A,N/A,N/A,62,N/A
Please Don't Destroy: The Treasure of Foggy Mountain,17 Nov 2023,R,1h 32min,Comedy,English,2 nominations,N/A,6.0,"8,786",N/A
PAW Patrol: The Mighty Movie,29 Sep 2023,PG,1h 28min,"Animation, Action, Adventure",English,1 win & 8 nominations,N/A,5.9,"5,438","$65,231,360"
RiffTrax Live: RAD,17 Aug 2023,PG,1h 52min,"Comedy, Drama, Romance",N/A,N/A,N/A,N/A,33,N/A
The Color Purple,25 Dec 2023,PG-13,2h 21min,"Drama, Musical",English,Nominated for 1 Oscar. 27 wins & 107 nominations total,N/A,6.8,"17,595","$60,619,191"
The Devil Conspiracy,13 Jan 2023,R,1h 51min,"Horror, Sci-Fi, Thriller","English, Italian",N/A,37,4.5,"3,749","$765,218"
It Lives Inside,22 Sep 2023,PG-13,1h 39min,"Drama, Horror, Thriller","English, Hindi",2 wins & 6 nominations,N/A,5.2,"7,986","$4,675,092"
The Holdovers,10 Nov 2023,R,2h 13min,"Comedy, Drama",English,Won 1 Oscar. 134 wins & 202 nominations total,N/A,7.9,"169,052","$20,355,375"
The Ghost,29 Sep 2023,PG,20min,Short,N/A,N/A,N/A,N/A,92,N/A
Genie,22 Nov 2023,PG,1h 33min,"Comedy, Fantasy",English,N/A,N/A,5.9,"9,072",N/A
Champions,10 Mar 2023,PG-13,2h 4min,"Comedy, Drama, Sport",English,2 wins & 2 nominations,50,6.8,"28,123","$16,397,335"
Seasons,07 Jul 2023,R,1h 48min,"Drama, Romance","Tagalog, Filipino",1 nomination,N/A,5.1,351,N/A
Sheroes,23 Jun 2023,R,1h 31min,"Action, Adventure, Comedy",English,N/A,N/A,3.3,"1,551",N/A
Sanctuary,19 May 2023,R,1h 36min,"Drama, Thriller",English,2 nominations,67,6.2,"9,465","$535,201"
The Adults,05 Sep 2023,R,1h 31min,"Comedy, Drama",English,3 nominations,71,5.7,"2,644",N/A
Jungle Bunch: Operation Meltdown,02 Feb 2024,PG,1h 29min,"Animation, Action, Adventure",French,N/A,N/A,N/A,328,"$831,200"
Jesus Revolution,24 Feb 2023,PG-13,2h 0min,"Biography, Drama, History",English,1 win & 2 nominations,46,7.1,"14,776","$52,102,987"
Sound of Silence,03 Mar 2023,R,1h 33min,Horror,English,N/A,N/A,4.0,789,N/A
The Last Voyage of the Demeter,11 Aug 2023,R,1h 59min,"Fantasy, Horror, Thriller",English,2 wins & 10 nominations,N/A,6.1,"57,252","$13,637,180"
The Pod Generation,25 Oct 2023,PG-13,1h 50min,"Comedy, Romance, Sci-Fi",English,2 wins & 1 nomination,63,5.6,"5,498","$31,569"
Reptile,29 Sep 2023,R,2h 14min,"Crime, Drama, Mystery",English,N/A,N/A,6.8,"96,812",N/A
Fittest on Earth: Retro/Active,30 Jun 2023,PG,1h 48min,Documentary,English,N/A,N/A,5.3,90,N/A
The Shift,01 Dec 2023,PG-13,1h 55min,"Action, Romance, Sci-Fi",English,2 wins & 1 nomination,N/A,5.5,"5,352","$12,118,219"
Aboud @ Home,31 Jan 2023,PG,1h 21min,Comedy,Arabic,N/A,N/A,N/A,11,N/A
Cocaine Bear,24 Feb 2023,R,1h 35min,"Comedy, Crime, Thriller",English,1 win & 10 nominations,54,5.9,"112,393","$64,670,240"
At the Gates,22 Sep 2023,R,1h 37min,"Drama, Mystery, Thriller","English, Spanish",3 wins & 2 nominations,N/A,7.2,66,"$7,552"
Senior Year: Love Never Fails,13 Nov 2023,PG-13,1h 47min,"Drama, Family, Romance",English,3 wins & 4 nominations,N/A,N/A,47,"$5,470"
Holiday Boyfriend,24 Nov 2023,PG,1h 24min,"Comedy, Romance",Spanish,N/A,N/A,N/A,81,N/A
Flying Lessons,15 Oct 2023,PG-13,1h 25min,Drama,English,N/A,N/A,10.0,6,N/A
The River Runs On,26 Sep 2023,PG-13,55min,Documentary,English,N/A,N/A,N/A,N/A,N/A
The Neighbors Are Watching,22 Oct 2023,PG,1h 29min,Thriller,English,N/A,N/A,5.4,259,N/A
What Did Deborah Do?,07 Aug 2023,PG-13,1h 8min,Drama,English,N/A,N/A,N/A,19,N/A
The Christmas Pledge,01 Nov 2023,G,1h 35min,Romance,English,N/A,N/A,N/A,118,N/A
The Perfect 10,11 Feb 2023,PG,1h 7min,Sport,English,N/A,N/A,N/A,16,N/A
The Surveyors,27 Jun 2023,R,1h 26min,"Action, Drama, Mystery",English,N/A,N/A,7.2,35,N/A
Love in the Great Smoky Mountains: A National Park Romance,02 Sep 2023,G,1h 22min,Romance,English,N/A,N/A,5.5,553,N/A
The Dog Lover's Guide to Dating,01 Jan 2023,G,1h 24min,"Comedy, Romance",English,N/A,N/A,6.2,740,N/A
Ms. Christmas Comes to Town,26 Oct 2023,PG,1h 24min,Romance,English,N/A,N/A,6.8,803,N/A
Coyote v. Acme,17 Nov 2023,PG,1h 30min,"Animation, Adventure, Comedy","English, Japanese",N/A,N/A,N/A,N/A,N/A
Rainbows,15 Dec 2023,G,N/A,Family,English,N/A,N/A,N/A,N/A,N/A
Apple Music Live: Brent Faiyaz,29 Nov 2023,R,1h 1min,Music,English,N/A,N/A,N/A,N/A,N/A
Lost in Love,17 Oct 2023,PG,1h 30min,"Drama, Romance",English,N/A,N/A,N/A,N/A,N/A
It's Lonely at the Top,10 Mar 2023,R,1h 2min,Drama,English,N/A,N/A,5.8,26,N/A
Behind the Smoke,30 May 2023,PG,1h 40min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Days that Rocked the House of Windsor,2023,PG,1h 0min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Dying to Sleep,24 Jul 2023,PG-13,1h 34min,"Drama, Mystery, Thriller",English,41 wins & 27 nominations,N/A,5.8,273,N/A
Facing the Laughter: Minnie Pearl,06 Feb 2023,PG-13,1h 30min,Documentary,English,N/A,N/A,7.8,35,N/A
Monsoon Lover,14 Jun 2023,PG-13,1h 35min,Thriller,English,N/A,N/A,5.6,48,N/A
Scary Tales: Dead Zone,13 Oct 2023,R,1h 23min,"Drama, Fantasy, Horror",English,N/A,N/A,3.2,115,N/A
Greg Warren: The Salesman,21 Apr 2023,PG,57min,Comedy,English,N/A,N/A,N/A,26,N/A
The Looney Tunes Show,03 May 2011,PG-13,1h 25min,"Animation, Adventure, Comedy",English,Nominated for 3 Primetime Emmys. 5 wins & 19 nominations total,N/A,7.8,"16,132",N/A
A Dash of Christmas,04 Nov 2023,G,1h 24min,Romance,English,N/A,N/A,6.7,535,N/A
Handle with Extreme Care,16 Jun 2023,PG-13,1h 20min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Shot Boot Three,06 Oct 2023,G,1h 57min,"Adventure, Comedy, Drama",Tamil,3 wins,N/A,6.0,"1,503",N/A
Seaper Powers: Mystery of the Blue Pearls,26 Apr 2023,PG,1h 6min,Animation,English,3 wins & 3 nominations,N/A,N/A,N/A,N/A
Denim Hunter,21 Oct 2023,PG-13,1h 27min,"Documentary, Adventure","Swedish, English",N/A,N/A,N/A,N/A,N/A
Samson's World: Volume 1,01 Jul 2023,R,57min,Comedy,English,N/A,N/A,N/A,N/A,N/A
Chasing Walrus (With A Stubborn Photographer),04 Jan 2023,PG,49min,Documentary,English,N/A,N/A,N/A,N/A,N/A
End to End: Svalbard,06 Nov 2023,PG-13,1h 34min,Adventure,English,N/A,N/A,N/A,N/A,N/A
Aatmapamphlet,06 Oct 2023,PG,1h 30min,"Comedy, Drama",Marathi,2 wins & 2 nominations,N/A,7.9,617,N/A
The Oskars Fantasy,28 Jun 2023,R,1h 50min,Comedy,"Tagalog, Filipino",N/A,N/A,4.1,53,N/A
Hari Kondabolu: Vacation Baby,19 Apr 2023,PG,1h 3min,Comedy,English,N/A,N/A,N/A,29,N/A
In a Silent World,01 Feb 2023,G,1h 29min,Documentary,English,N/A,N/A,8.9,19,N/A
Viking: Battle of Heirs,28 Apr 2023,PG,1h 22min,Action,N/A,N/A,N/A,N/A,191,N/A
Mistletoe Connection,26 Nov 2023,G,1h 30min,"Drama, Romance","English, French",N/A,N/A,6.9,314,N/A
Disney Intertwined Live,05 May 2023,PG,1h 8min,"Comedy, Drama, Fantasy",Spanish,N/A,N/A,N/A,33,N/A
Thabo and the Rhino Case,03 May 2024,PG,1h 37min,"Adventure, Family, Mystery",English,4 wins,N/A,N/A,134,"$46,002"
The Modelizer,14 Jul 2023,R,1h 36min,"Comedy, Romance",English,N/A,N/A,6.5,96,N/A
Trapped in the Farmhouse,09 Jul 2023,PG-13,1h 30min,Thriller,English,N/A,N/A,4.7,260,N/A
Psy Summer Swag 2022,03 May 2023,PG,1h 26min,Music,Korean,N/A,N/A,N/A,55,N/A
A Royal Christmas on Ice,05 Nov 2022,G,1h 25min,"Comedy, Drama, Romance",English,N/A,N/A,5.2,544,N/A
Untold: Jake Paul the Problem Child,01 Aug 2023,R,1h 10min,"Documentary, Sport",English,N/A,N/A,6.0,"1,846",N/A
Yester-Years,02 Oct 2023,PG-13,59min,Thriller,English,5 wins,N/A,N/A,N/A,N/A
Devanand Dheere Dheere,2023,PG-13,1h 37min,"Drama, Romance",Hindi,N/A,N/A,N/A,N/A,N/A
1992: Monarchy vs Media,2023,PG-13,42min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Made for Each Other,25 Feb 2023,G,1h 24min,"Comedy, Fantasy, Romance",English,N/A,N/A,5.9,755,N/A
Tiger 3,11 Nov 2023,PG-13,2h 34min,"Action, Adventure, Thriller","Hindi, English, Vietnamese",13 nominations,N/A,5.7,"54,173","$5,365,263"
Wonderwell,23 Jun 2023,PG-13,1h 36min,"Drama, Family, Fantasy",English,N/A,N/A,6.0,"4,339",N/A
Shyamchi Aai,10 Nov 2023,G,2h 20min,Biography,Marathi,3 wins,N/A,8.0,131,N/A
Chang Can Dunk,10 Mar 2023,PG,1h 49min,"Drama, Family, Sport",English,3 wins & 2 nominations,77,6.4,"1,653",N/A
Cypher,24 Nov 2023,R,1h 21min,"Documentary, Music, Thriller",English,1 win & 2 nominations,N/A,N/A,151,N/A
Stan Lee,16 Jun 2023,PG,1h 26min,"Documentary, Biography",English,N/A,58,6.9,"2,754",N/A
Gulmohar,03 Mar 2023,PG-13,2h 11min,"Drama, Family",Hindi,12 wins & 32 nominations,N/A,7.6,"5,523",N/A
Secret Society of Lies,19 Feb 2023,PG-13,1h 28min,"Drama, Thriller",English,N/A,N/A,5.2,182,N/A
The Siege,14 Mar 2023,R,1h 37min,Action,English,N/A,N/A,3.4,960,N/A
The Best Man,21 Apr 2023,R,1h 33min,"Action, Thriller",English,N/A,N/A,3.9,"1,352",N/A
Frybread Face and Me,24 Nov 2023,R,1h 22min,Drama,"Navajo, English",1 win & 3 nominations,N/A,7.2,"1,297",N/A
Join or Die,12 Mar 2023,PG,1h 39min,Documentary,English,1 win & 3 nominations,N/A,7.3,83,N/A
"Ice Cold: Murder, Coffee and Jessica Wongso",28 Sep 2023,PG-13,1h 26min,"Documentary, Crime","Indonesian, English",N/A,N/A,5.9,"1,871",N/A
Our Christmas Mural,26 Nov 2023,G,1h 24min,"Comedy, Drama, Romance",English,N/A,N/A,6.1,709,N/A
Catch Me If You Claus,23 Nov 2023,G,1h 24min,Romance,English,N/A,N/A,6.6,"1,366",N/A
Lonesome Soldier,03 Nov 2023,R,1h 49min,"Biography, Drama, Thriller",English,N/A,N/A,5.7,"1,527","$51,228"
Make Me Believe,23 Jun 2023,R,1h 44min,"Comedy, Romance",Turkish,1 win,N/A,5.7,"3,440",N/A
Learning to Love,12 May 2023,G,1h 30min,"Comedy, Drama, Family",English,N/A,N/A,6.2,239,N/A
Toni,06 Sep 2023,PG-13,1h 35min,"Comedy, Drama",French,N/A,N/A,6.7,810,N/A
Uproar,05 Oct 2023,PG-13,1h 50min,Drama,"Maori, English",1 nomination,N/A,6.6,"1,235","$26,316"
The Great Turkey Town Miracle,10 Nov 2023,PG,1h 23min,Drama,English,N/A,N/A,N/A,25,"$60,000"
Haul Out the Holly: Lit Up,25 Nov 2023,G,1h 24min,"Comedy, Romance","English, Spanish, German",N/A,N/A,5.7,"1,064",N/A
Maybe It's You,23 Jul 2023,PG-13,1h 25min,Comedy,English,1 nomination,N/A,5.7,285,N/A
Swing Into Romance,07 Oct 2023,G,1h 25min,"Comedy, Romance",English,N/A,N/A,6.6,290,N/A
Zombie Town,01 Sep 2023,PG-13,1h 33min,"Action, Adventure, Comedy",English,3 nominations,N/A,3.8,"1,526","$130,802"
Dreamin' Wild,06 Jun 2024,PG,1h 50min,"Biography, Drama, Music",English,2 nominations,69,6.4,"1,279","$296,290"
Monica,15 Dec 2023,R,1h 53min,Drama,English,5 wins & 17 nominations,74,6.3,"1,509","$152,619"
Jung_E,20 Jan 2023,R,1h 38min,"Action, Adventure, Drama",Korean,N/A,52,5.5,"11,090",N/A
My Christmas Hero,01 Dec 2023,G,1h 25min,"Drama, Family, Romance",English,N/A,N/A,6.4,714,N/A
One More Time,21 Apr 2023,R,1h 25min,"Comedy, Drama, Romance",Swedish,N/A,N/A,5.7,"2,585",N/A
Donyale Luna: Supermodel,13 Sep 2023,R,1h 35min,Documentary,English,N/A,N/A,7.2,268,N/A
The Wedding Contract,17 Jun 2023,G,1h 24min,"Comedy, Romance","English, Hebrew",N/A,N/A,6.2,531,N/A
Good Night,12 May 2023,G,2h 24min,"Comedy, Drama, Romance",Tamil,2 wins & 4 nominations,N/A,7.7,"5,007",N/A
The Taming of the Shrewd 2,20 Dec 2023,R,1h 40min,"Comedy, Romance",Polish,N/A,N/A,N/A,268,N/A
All Souls,08 Dec 2023,R,1h 21min,"Action, Crime, Drama",English,N/A,N/A,4.8,573,N/A
A Snowy Day in Oakland,17 Mar 2023,PG-13,1h 32min,Comedy,English,N/A,N/A,5.0,267,N/A
Trust Me,13 Oct 2023,PG-13,1h 52min,"Action, Comedy",Turkish,N/A,N/A,N/A,264,N/A
A Gamer's Journey: The Definitive History of Shenmue,02 Apr 2023,PG-13,1h 23min,Documentary,"English, Japanese",N/A,N/A,7.8,59,N/A
Glisten and the Merry Mission,01 Dec 2023,G,1h 18min,"Animation, Adventure, Family",English,N/A,N/A,5.3,94,N/A
Praise This,07 Apr 2023,PG-13,1h 41min,"Musical, Romance",N/A,7 nominations,44,5.7,"1,198",N/A
Unica,24 Nov 2023,PG-13,1h 21min,Documentary,Italian,N/A,N/A,5.3,382,N/A
King of Clones,23 Jun 2023,PG-13,1h 25min,Documentary,"English, Russian, Korean",1 nomination,N/A,6.1,954,N/A
The Magician's Elephant,17 Mar 2023,PG,1h 39min,"Animation, Adventure, Comedy",English,N/A,53,6.6,"6,117",N/A
Mother's Day,24 May 2023,R,1h 34min,"Action, Drama, Thriller",Polish,N/A,N/A,5.3,"2,624",N/A
Assassin Club,16 May 2023,R,1h 51min,"Action, Thriller",English,N/A,27,4.7,"3,215",N/A
Carlos,29 Sep 2023,R,1h 27min,"Documentary, Biography",English,1 nomination,N/A,7.2,366,"$432,479"
The Devil on Trial,17 Oct 2023,R,1h 21min,"Documentary, Crime, Horror",English,N/A,N/A,5.6,"4,165",N/A
Trading Places,01 Mar 2023,R,1h 36min,Documentary,English,N/A,N/A,N/A,N/A,N/A
Sick Girl,20 Oct 2023,R,1h 39min,"Comedy, Drama",English,N/A,N/A,4.8,837,N/A
Killer Book Club,25 Aug 2023,R,1h 29min,"Horror, Thriller",Spanish,N/A,N/A,4.6,"5,051",N/A
Coffee Wars,21 Mar 2023,R,1h 44min,Comedy,English,N/A,N/A,4.6,"2,981",N/A
Fashion Reimagined,22 Sep 2023,R,1h 40min,Documentary,English,3 wins & 3 nominations,N/A,7.2,148,N/A
Total Trust,13 Feb 2024,R,1h 37min,Documentary,"Mandarin, English",5 wins & 8 nominations,N/A,7.2,330,"$7,835"
Being Mary Tyler Moore,26 May 2023,PG,1h 59min,Documentary,English,Nominated for 1 Primetime Emmy. 1 win & 7 nominations total,66,7.5,"1,146",N/A
The Price We Pay,10 Jan 2023,R,1h 26min,"Action, Horror, Thriller",English,N/A,N/A,4.9,"4,337",N/A
Far Haven,03 Sep 2023,PG,1h 41min,Western,English,5 wins & 7 nominations,N/A,5.8,304,N/A
Mafia Mamma,14 Apr 2023,R,1h 41min,"Action, Comedy, Crime","English, Italian",1 win,43,5.4,"11,774","$3,496,761"
Christmas Time,03 Oct 2023,G,1h 35min,"Comedy, Family",English,N/A,N/A,4.6,153,N/A
Mending the Line,09 Jun 2023,R,1h 57min,Drama,English,1 win,56,6.7,"1,639","$379,890"
Our Son,08 Dec 2023,R,1h 44min,"Crime, Drama",English,4 wins & 2 nominations,N/A,4.8,"1,289",N/A
Filip,03 Mar 2023,R,1h 59min,"Drama, History, War","German, Polish, French, Yiddish",7 wins & 11 nominations,N/A,6.9,"2,467",N/A
Poor Things,27 Feb 2024,R,2h 22min,"Comedy, Drama, Romance","English, French, Portuguese",Won 4 Oscars. 116 wins & 408 nominations total,N/A,7.8,"305,203","$34,553,225"
The Starling Girl,11 Jul 2023,R,1h 56min,Drama,English,1 win & 4 nominations,78,6.7,"2,623","$161,290"
"Santa, Maybe",18 Nov 2023,G,1h 24min,"Drama, Romance",English,N/A,N/A,6.2,355,N/A
Dear David,13 Oct 2023,R,1h 34min,"Horror, Thriller",English,N/A,N/A,4.0,"1,422",N/A
The Crime Is Mine,08 Mar 2023,R,1h 43min,"Comedy, Crime","French, Spanish",2 nominations,N/A,6.5,"5,574","$122,083"
